 经典电影嘉兴,#genre#
30康熙王朝,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=11352940


经典轮播嘉兴,#genre#

电视剧场一,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29465862
电视剧场二,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336591
电视剧场三,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059563
电视剧场四,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355783
电视剧场五,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352912
电视剧场六,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352936
电视剧场七,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059630
电视剧场八,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355775
电视剧场九,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059594
电视剧场十,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336592
电视剧场十一,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602088.fl
亮剑,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=30080238
漫长的季节,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342393
电视剧场一,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29465862
电视剧场二,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336591
电视剧场三,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059563
电视剧场四,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355783
电视剧场五,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352912
电视剧场六,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352936
电视剧场七,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059630
电视剧场八,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355775
电视剧场九,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059594
电视剧场十,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336592
电视剧场十一,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602088
龙珠,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=10279885
鬼吹灯之精绝古城,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352871
鬼吹灯之怒晴湘西,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602075
鬼吹灯之龙岭迷窟,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29465863
鬼吹灯之云南虫谷,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352898
梦华录,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336590
延禧攻略,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355864
民兵葛二蛋,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602072
开端,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342397
铁道游击队,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352936
笑傲江湖,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=23865142
康熙微服私访记,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342418
小李飞刀（焦恩俊版）,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342397
御赐小仵作,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352948
新水浒传,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342384
神雕侠侣,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=23865171
雍正王朝,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342439
陆小凤,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29808803
三国演义（94版）,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602081
新三国演义,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352944
问心,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352890
家有儿女,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29774370
风云雄霸天下,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=21059612
全职高手,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352901
炊事班的故事3,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=19524135
医馆笑传,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352891
杨光的快乐生活,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602085
陈情令,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29465862
神医喜来乐,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11601978
大宋提刑官,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=26355856
鹊刀门传奇,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29805872
陈翔六点半,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11274154
神探狄仁杰1,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29528581
神探狄仁杰2,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=29793925
白鹿原,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342416
长相思,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336593
你是我的荣耀,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352920
刑事侦缉档案,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=23734169
芈月传,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352975
一代枭雄,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342398
庆余年,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352960
铁齿铜牙纪晓岚,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342396
士兵突击,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342430
我的团长我的团,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352910
镖行天下,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352969
雪中悍刀行,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336592
星汉灿烂·月生沧海,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336591
将夜,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352885
铁梨花,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11352912
父母爱情,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602071
大染坊,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11602086
地下交通站,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342433
邻里一家亲,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342426
剧集_雍正王朝,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342439
剧集_士兵突击,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342430
剧集_爱情公寓,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11336726

一起看港剧(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=5061550
闯关东(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=8787737
大宋提刑官(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=11678039
欢乐颂(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=3756989
好先生(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=9650792
孙红雷【征服】(斗鱼),http://8.138.90.107/公众号【睡眼迷离的猫】/douyu.php?id=2726977
康熙微服私访记,http://zby.xjqxz.top/kxwfxhj/live.m3u8
长安十二时辰,http://zby.xjqxz.top/casrsc/live.m3u8
三生三世枕上书,http://zby.xjqxz.top/sssszss/live.m3u8


yy轮播嘉兴,#genre#

【鹿鼎记】金庸经典,http://live.nctv.top/6688/yy.php?id=28265277
 【狂飙2老默】首播,http://live.nctv.top/6688/yy.php?id=1354790484
 武林外传,http://live.nctv.top/6688/yy.php?id=1355652820
 铁齿铜牙纪晓岚,http://live.nctv.top/6688/yy.php?id=1354143978
 【周星驰】搞笑电影,http://live.nctv.top/6688/yy.php?id=38670875
 动作港片电影,http://live.nctv.top/6688/yy.php?id=1459801818
 雍正王朝,http://live.nctv.top/6688/yy.php?id=1356043620
 经典鬼片3000部,http://live.nctv.top/6688/yy.php?id=29460894
 【新三国】萌儿陪看,http://live.nctv.top/6688/yy.php?id=29216766
 赵本山《蓝光版》,http://live.nctv.top/6688/yy.php?id=32160832
 抗战神剧,http://live.nctv.top/6688/yy.php?id=1507704566
 【战狼3吴京】独播,http://live.nctv.top/6688/yy.php?id=37999586
 济公,http://live.nctv.top/6688/yy.php?id=1355265814
 港片 喜剧 动作,http://live.nctv.top/6688/yy.php?id=1355480591
 隋唐英雄传,http://live.nctv.top/6688/yy.php?id=1352475619
 赵本山《超清版》,http://live.nctv.top/6688/yy.php?id=1382683959
 纪晓岚,http://live.nctv.top/6688/yy.php?id=1382781415
 纪晓岚,http://live.nctv.top/6688/yy.php?id=1352227227
 天龙八部,http://live.nctv.top/6688/yy.php?id=1351814644
 弹幕天团 下饭神剧,http://live.nctv.top/6688/yy.php?id=23512910
 德爷单挑荒野,http://live.nctv.top/6688/yy.php?id=27772604
 举起手来-惊险抗日,http://live.nctv.top/6688/yy.php?id=1382736877
 少年包青天,http://live.nctv.top/6688/yy.php?id=1356043677
 111,http://live.nctv.top/6688/yy.php?id=1382571192
 武林外传,http://live.nctv.top/6688/yy.php?id=1454629602
 林正英全集,http://live.nctv.top/6688/yy.php?id=1353685311
 鉴证实录,http://live.nctv.top/6688/yy.php?id=1356341389
 林正英-经典电影,http://live.nctv.top/6688/yy.php?id=34229877
 宰相刘罗锅,http://live.nctv.top/6688/yy.php?id=1353892468
 狄仁杰等你哦,http://live.nctv.top/6688/yy.php?id=1457579747
 【港片】赌片 动作,http://live.nctv.top/6688/yy.php?id=24921161
 经典港片动作搞笑,http://live.nctv.top/6688/yy.php?id=1459869766
 水浒传,http://live.nctv.top/6688/yy.php?id=1353873252
 小蓉儿 正在直播,http://live.nctv.top/6688/yy.php?id=1351762426
 我和僵尸有个约会,http://live.nctv.top/6688/yy.php?id=1354143966
 五号特工组,http://live.nctv.top/6688/yy.php?id=22089862
 少年包青天1~3蓝光版,http://live.nctv.top/6688/yy.php?id=38498680
 林正英 僵尸 鬼片,http://live.nctv.top/6688/yy.php?id=1351505899
 家花与野花,http://live.nctv.top/6688/yy.php?id=1354420982
 【神雕侠侣】金庸经典,http://live.nctv.top/6688/yy.php?id=1382704651
 打狗棍  4K超清,http://live.nctv.top/6688/yy.php?id=39736069
 【济公】游本昌,http://live.nctv.top/6688/yy.php?id=25519088
 燕双鹰,http://live.nctv.top/6688/yy.php?id=1352227153
 燕双鹰,http://live.nctv.top/6688/yy.php?id=1354143942
 雪中悍刀行,http://live.nctv.top/6688/yy.php?id=1462996362
 火凤凰之战狼七,http://live.nctv.top/6688/yy.php?id=1463088777
 古惑仔,http://live.nctv.top/6688/yy.php?id=1458015189
 狂飙,http://live.nctv.top/6688/yy.php?id=1355142167
 真实案件系列,http://live.nctv.top/6688/yy.php?id=1382671124
 小宝 天龙 神雕金庸,http://live.nctv.top/6688/yy.php?id=1356043609
 康熙微服私访记,http://live.nctv.top/6688/yy.php?id=1352811698
 武林外传,http://live.nctv.top/6688/yy.php?id=1353852605
 【新三国】蓝光版,http://live.nctv.top/6688/yy.php?id=1382705738
 欢乐集结号-每天笑不停,http://live.nctv.top/6688/yy.php?id=1382741642
 狂飙,http://live.nctv.top/6688/yy.php?id=1382754187
 【盜暮笔记】24h,http://live.nctv.top/6688/yy.php?id=1382702247
 神探狄仁杰,http://live.nctv.top/6688/yy.php?id=38338029
 鹊刀门,http://live.nctv.top/6688/yy.php?id=1355344777
 热度榜1.包青天,http://live.nctv.top/6688/yy.php?id=22701868
 狄仁杰,http://live.nctv.top/6688/yy.php?id=1351755386
 倚天屠龙记 超清,http://live.nctv.top/6688/yy.php?id=1354755003
 封神榜,http://live.nctv.top/6688/yy.php?id=1356043643
 雪豹,http://live.nctv.top/6688/yy.php?id=1461889059
 我的兄弟叫顺溜,http://live.nctv.top/6688/yy.php?id=1459331991
 正阳门下,http://live.nctv.top/6688/yy.php?id=1354931580
 神医喜来乐,http://live.nctv.top/6688/yy.php?id=1382714119
 动漫,http://live.nctv.top/6688/yy.php?id=26664495
 正阳门下,http://live.nctv.top/6688/yy.php?id=1382851588
 泡芙陪你看电影,http://live.nctv.top/6688/yy.php?id=24407222
 雍正王朝 护眼版,http://live.nctv.top/6688/yy.php?id=23206872
 疯狂动漫 正在直播,http://live.nctv.top/6688/yy.php?id=1353937086
 知否知否应是绿肥红瘦,http://live.nctv.top/6688/yy.php?id=21881901
 二龙湖浩哥【经典搞笑】,http://live.nctv.top/6688/yy.php?id=28205255
 梦梦古装武侠剧,http://live.nctv.top/6688/yy.php?id=1382881708
 超精彩武打场景,http://live.nctv.top/6688/yy.php?id=1354936131
 24H地下交通站全,http://live.nctv.top/6688/yy.php?id=37880083
 赌神 港片 喜剧,http://live.nctv.top/6688/yy.php?id=1355112116
 24h 我爱我家 纯音频,http://live.nctv.top/6688/yy.php?id=1356212303
 豪哥带我们发财,http://live.nctv.top/6688/yy.php?id=23402146
 三大战役,http://live.nctv.top/6688/yy.php?id=1354508622
 火蓝刀锋,http://live.nctv.top/6688/yy.php?id=1382737892
 111,http://live.nctv.top/6688/yy.php?id=1346966327
 大家车言论,http://live.nctv.top/6688/yy.php?id=1382570702
 鹿鼎记-全集,http://live.nctv.top/6688/yy.php?id=1382704650
 地下交通站,http://live.nctv.top/6688/yy.php?id=1382736795
 港剧破案,http://live.nctv.top/6688/yy.php?id=1354932707
 《仙侠》开局无敌了,http://live.nctv.top/6688/yy.php?id=29600150
 【成龙经典】动作,http://live.nctv.top/6688/yy.php?id=34460526
 (周星驰)超经典搞笑电影,http://live.nctv.top/6688/yy.php?id=29945997
 大秧歌  ~24经典好剧,http://live.nctv.top/6688/yy.php?id=1354744544
 搞笑经典电影,http://live.nctv.top/6688/yy.php?id=1351537467
 天龙神雕经典回忆,http://live.nctv.top/6688/yy.php?id=68260522
 宰相刘罗锅,http://live.nctv.top/6688/yy.php?id=1382745191
 精彩动漫,http://live.nctv.top/6688/yy.php?id=1420843376
 8090年的热血与回忆,http://live.nctv.top/6688/yy.php?id=1356243352
 新白娘子传奇,http://live.nctv.top/6688/yy.php?id=1354490667
 港片鬼片老电影,http://live.nctv.top/6688/yy.php?id=1355269576
 悬疑电视剧,http://live.nctv.top/6688/yy.php?id=1354689861
 电影 古惑仔全集,http://live.nctv.top/6688/yy.php?id=1354507447
 国漫动漫,http://live.nctv.top/6688/yy.php?id=1354768828
 绝版鬼片港片贼好看,http://live.nctv.top/6688/yy.php?id=1454732419
 【电影】顶级动作电影,http://live.nctv.top/6688/yy.php?id=24923327
 [特种兵系列】,http://live.nctv.top/6688/yy.php?id=1508456184
 赵本山小品,http://live.nctv.top/6688/yy.php?id=28882933
 8090.电影一哥,http://live.nctv.top/6688/yy.php?id=29197808
 海派甜心,http://live.nctv.top/6688/yy.php?id=1355260662
 【新三国】吕布,http://live.nctv.top/6688/yy.php?id=1382851459
 【港台】鬼片 惊悚 喜剧,http://live.nctv.top/6688/yy.php?id=1351030377
 倚天屠龙记,http://live.nctv.top/6688/yy.php?id=1449856066
 花千骨,http://live.nctv.top/6688/yy.php?id=1354943110
 开心果 正在直播,http://live.nctv.top/6688/yy.php?id=1457622044
 24H盗幕笔记,http://live.nctv.top/6688/yy.php?id=1355171231
 雯子：港剧TVB,http://live.nctv.top/6688/yy.php?id=1456829119
 【经典港片】佟瑶,http://live.nctv.top/6688/yy.php?id=23531261
 惊恐盗暮鬼怪,http://live.nctv.top/6688/yy.php?id=1382749525
 距离你500米,http://live.nctv.top/6688/yy.php?id=1354821987
 动漫,http://live.nctv.top/6688/yy.php?id=1382747970
 距离你500米,http://live.nctv.top/6688/yy.php?id=37264974
 距离你500米,http://live.nctv.top/6688/yy.php?id=1354923611
 雪中悍刀行,http://live.nctv.top/6688/yy.php?id=1382660835
  宋小宝小品合集,http://live.nctv.top/6688/yy.php?id=1354931577
 鬼片.惊悚.港片,http://live.nctv.top/6688/yy.php?id=1355497884
 燕双鹰专场,http://live.nctv.top/6688/yy.php?id=23026835
 情满四合院-高分电视剧,http://live.nctv.top/6688/yy.php?id=1382735541
 雪豹2,http://live.nctv.top/6688/yy.php?id=1450496699
 九品芝麻官包龙星,http://live.nctv.top/6688/yy.php?id=1354930968
 父母的爱情,http://live.nctv.top/6688/yy.php?id=1382768483
 无敌燕双鹰,http://live.nctv.top/6688/yy.php?id=1354825244
 动作 港片电影,http://live.nctv.top/6688/yy.php?id=1461037999
 神探狄仁杰1,http://live.nctv.top/6688/yy.php?id=1382851575
 国漫 一起看正在直播,http://live.nctv.top/6688/yy.php?id=1351417866
 谢文东第五部,http://live.nctv.top/6688/yy.php?id=24486495
 港片电影,http://live.nctv.top/6688/yy.php?id=33897188
 鸡毛飞上天,http://live.nctv.top/6688/yy.php?id=1461033197
 西游记后传 蓝光,http://live.nctv.top/6688/yy.php?id=1353392400
 【案发现场】1-4部全集,http://live.nctv.top/6688/yy.php?id=33567888
 二号交通站,http://live.nctv.top/6688/yy.php?id=1382735582
 破案剧,http://live.nctv.top/6688/yy.php?id=1356158015
 寻秦记-穿越剧经典,http://live.nctv.top/6688/yy.php?id=1382749900
 薛元帅传奇,http://live.nctv.top/6688/yy.php?id=31313785
 大家都在看的电视剧,http://live.nctv.top/6688/yy.php?id=1354930964
 小甜甜 闯关东,http://live.nctv.top/6688/yy.php?id=1382658790
 国内侦探电影大全,http://live.nctv.top/6688/yy.php?id=1354936134
 丫头动漫 斗罗斗破,http://live.nctv.top/6688/yy.php?id=1458722520
 笑傲江湖 4K超清,http://live.nctv.top/6688/yy.php?id=1354282410
 少年包青天三,http://live.nctv.top/6688/yy.php?id=61318527
 康熙王朝,http://live.nctv.top/6688/yy.php?id=1382851583
 港片 恐怖片 鬼片,http://live.nctv.top/6688/yy.php?id=1353850051
 军旅剧（回忆经典）,http://live.nctv.top/6688/yy.php?id=1356306672
 24【动漫】正在直播,http://live.nctv.top/6688/yy.php?id=1350984033
 西游记后传,http://live.nctv.top/6688/yy.php?id=1382736846
 李连杰功夫 经典武侠,http://live.nctv.top/6688/yy.php?id=74613175
 少年歌行,http://live.nctv.top/6688/yy.php?id=1450556636
 康熙王朝,http://live.nctv.top/6688/yy.php?id=1382736818
 战狼7吴京退役,http://live.nctv.top/6688/yy.php?id=1382773714
 笑声传奇,http://live.nctv.top/6688/yy.php?id=1382736880
 少年包青天第三部,http://live.nctv.top/6688/yy.php?id=1382851540
 动漫,http://live.nctv.top/6688/yy.php?id=1354143938
 易中天品三国,http://live.nctv.top/6688/yy.php?id=1354931498
 打狗棍,http://live.nctv.top/6688/yy.php?id=1354773983
 炊事班的故事II,http://live.nctv.top/6688/yy.php?id=1382851579
 好先生,http://live.nctv.top/6688/yy.php?id=79382500
 破案港剧,http://live.nctv.top/6688/yy.php?id=1350670730
 鹿鼎记-周星驰版,http://live.nctv.top/6688/yy.php?id=1354658049
 欢乐颂,http://live.nctv.top/6688/yy.php?id=1382735624
  炊事班的故事II,http://live.nctv.top/6688/yy.php?id=1382736885
 读心神探,http://live.nctv.top/6688/yy.php?id=1382851589
 变形金刚,http://live.nctv.top/6688/yy.php?id=1382736803
 父母爱情,http://live.nctv.top/6688/yy.php?id=1354926650
 法证先锋,http://live.nctv.top/6688/yy.php?id=1354930939
 国漫  动漫,http://live.nctv.top/6688/yy.php?id=1354076248
 斗罗小舞 正在直播,http://live.nctv.top/6688/yy.php?id=1354768831
 【新三国】,http://live.nctv.top/6688/yy.php?id=1382851415
 鬼片、港片3000部,http://live.nctv.top/6688/yy.php?id=1335509613
 电影 电影,http://live.nctv.top/6688/yy.php?id=1460889796
