🌼 流行歌曲,#genre#
环绕音,http://txmov2.a.kwimgs.com/upic/2023/06/06/19/BMjAyMzA2MDYxOTE1NDRfMjM0Mjg1Nzg4Ml8xMDQ5MDE2MDMzNDJfMV8z_b_B7bb4f28726c07ae269b4e127fffdbd49.mp4?tag=1-1701951318-std-1-7zicuidfs7-7f49c2a8325d35a9&clientCacheKey=3x4y5bnhcs54h3u_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
流行舞曲02,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
模特DJ,http://gcw.bdcdn.shoujiduoduo.com/201805/0247-477.mp4
演唱程响_是否,https://txmov2.a.kwimgs.com/upic/2023/05/04/11/BMjAyMzA1MDQxMTQyMzZfMTM4ODQ2MjU5MF8xMDIyNTUwODM0MzVfMl8z_b_B6b2a4f4f70e27bf7915609b0876287ce.mp4?tag=1-1705540739-std-1-msqhkxrpxy-d4e0f8c8c2deb8e6&clientCacheKey=3xx6zux29kaegjm_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
爱我的人,https://kq.bgp.68tool.com/video/m3u8/2023/05/13/0eefa293/playlist.m3u8
当我娶过她,https://kq.bgp.68tool.com/video/m3u8/2023/05/13/4e291f0c/playlist.m3u8
爱的世界,https://kq.bgp.68tool.com/video/m3u8/2023/04/28/e821aac4/playlist.m3u8
玫瑰花的梦,https://kq.bgp.68tool.com/video/m3u8/2023/04/06/ae38fab0/playlist.m3u8
起风了dj,https://kq.bgp.68tool.com/video/m3u8/2023/04/06/fe72c32c/playlist.m3u8
热舞～你的欺骗,https://kq.bgp.68tool.com/video/m3u8/2023/03/24/892e0c50/playlist.m3u8
热舞～晚风吹,https://kq.bgp.68tool.com/video/m3u8/2023/03/24/0358eebb/playlist.m3u8
热舞～舞女泪,https://kq.bgp.68tool.com/video/m3u8/2023/03/23/377923dc/playlist.m3u8
钢管舞～受伤,https://kq.bgp.68tool.com/video/m3u8/2023/03/22/c80179d6/playlist.m3u8
负心人dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/22/1812d19f/playlist.m3u8
如水年华dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/21/26aee11d/playlist.m3u8
热舞～雾里着迷,https://kq.bgp.68tool.com/video/m3u8/2023/03/21/3c46c8f4/playlist.m3u8
下山DjSZ仔,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/176d4d80/playlist.m3u8
爱成狠dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/19/653dea7e/playlist.m3u8
爱上你是一个错,https://kq.bgp.68tool.com/video/m3u8/2023/03/19/7f08ab68/playlist.m3u8
望爱却步DJ,https://kq.bgp.68tool.com/video/m3u8/2023/03/14/fafbba1b/playlist.m3u8
我要找到你dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/14/42e14849/playlist.m3u8
九十九步dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/11/ff5fec35/playlist.m3u8
和你成个家dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/11/9e5c635b/playlist.m3u8
很在乎dj,https://kq.bgp.68tool.com/video/m3u8/2022/08/27/acaf2ee0/playlist.m3u8
红枣树dj,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
喊麦～爰爱爱,https://kq.bgp.68tool.com/video/m3u8/2022/05/24/8b1f6817/playlist.m3u8
才说爱我dj,https://kq.bgp.68tool.com/video/m3u8/2022/02/18/f097d94a/playlist.m3u8
你爱我坏dj,https://kq.bgp.68tool.com/video/m3u8/2022/02/12/ebdaa808/playlist.m3u8
此生无怨无悔,https://kq.bgp.68tool.com/video/m3u8/2022/02/08/9164ca57/playlist.m3u8
夜猫🐱dj,https://kq.bgp.68tool.com/video/m3u8/2022/01/16/888ad6ce/playlist.m3u8
把心掏空dj,https://kq.bgp.68tool.com/video/m3u8/2022/01/06/2545e778/playlist.m3u8
情字最大dj,https://kq.bgp.68tool.com/video/m3u8/2021/10/25/195237ed/playlist.m3u8
送亲DJ版,https://kq.bgp.68tool.com/video/m3u8/2021/10/21/f1416b15/playlist.m3u8
热播DJ版,https://kq.bgp.68tool.com/video/m3u8/2021/10/09/3c9faf7f/playlist.m3u8
酒杯杯里dj,https://kq.bgp.68tool.com/video/m3u8/2021/10/09/6936bfc1/playlist.m3u8
眉雨美女热舞,https://kq.bgp.68tool.com/video/m3u8/2021/10/08/e79526a0/playlist.m3u8
我爱你不问归期,https://kq.bgp.68tool.com/video/m3u8/2021/10/08/3d3821fa/playlist.m3u8
曾经最美dj,https://kq.bgp.68tool.com/video/m3u8/2021/09/11/829ebdda/playlist.m3u8
你把爱情给了谁,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/2fe28b6e/playlist.m3u8
红颜DJcand,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/815f6e47/playlist.m3u8
美酒加咖啡DJ,https://kq.bgp.68tool.com/m3u8/2023/06/28/0482e6a730cf7099/playlist.m3u8
少年不识愁滋味,https://kq.bgp.68tool.com/m3u8/2023/10/26/1aa7b785ccb41373/playlist.m3u8
小伙有精神,https://kq.bgp.68tool.com/m3u8/2023/11/21/c2372473492d38e3/playlist.m3u8
断了这份情,https://kq.bgp.68tool.com/m3u8/2023/11/21/92d39080391d7a21/playlist.m3u8
回心转意Dj,https://kq.bgp.68tool.com/m3u8/2023/10/23/6173807b6d4ef00c/playlist.m3u8

不是我的错,hhttps://vd3.bdstatic.com/mda-na6dv0mi83nwdcj9/sc/cae_h264/1641656080219161555/mda-na6dv0mi83nwdcj9.mp4
模特DJ,http://gcw.bdcdn.shoujiduoduo.com/201805/0247-477.mp4
点歌台,http://zzy789.xyz/douyu1.php?id=3186217
MV音乐,http://zzy789.xyz/douyu1.php?id=3870925
🍓朋友的酒,http://txmov2.a.kwimgs.com/upic/2023/06/02/23/BMjAyMzA2MDIyMzIyMjBfODg3MjYxMjE3XzEwNDU5NDkwOTY3MF8yXzM=_b_B39e0f810f81204ce95abe5a82729dc45.mp4?tag=1-1699726327-std-1-162vhosg7p-746cecc651db59af&clientCacheKey=3xvs8y29zhw9quw_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓爱情着了火dj,https://txmov2.a.kwimgs.com/upic/2023/09/12/01/BMjAyMzA5MTIwMTU0NDBfMTE1OTE4MDcwOV8xMTI2MTEzOTM4MThfMl8z_b_Bdeddadaedd33ce3d475342f9b5ef823f.mp4?tag=1-1702523733-std-1-uncb0aeai3-0ca74ec9e5510d64&clientCacheKey=3x4yrv2uzzuwps9_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓凤舞九天dj,https://txmov2.a.kwimgs.com/upic/2023/09/13/00/BMjAyMzA5MTMwMDM5MDlfMTE1OTE4MDcwOV8xMTI2NzEwNDUyNjdfMl8z_b_Be3fa5eb72a107937bc4efbdad64abb67.mp4?tag=1-1702523641-std-1-kyty1jjzne-9a05e92f9a7c557d&clientCacheKey=3xetc8pcwhp3e62_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓舞曲1,http://txmov2.a.kwimgs.com/upic/2023/10/24/08/BMjAyMzEwMjQwODA4MjFfMjM0Mjg1Nzg4Ml8xMTU2NTEyNzEwMjJfMV8z_b_Bbc75a134f52d0237291ed6686011c0e8.mp4?tag=1-1701958003-std-1-tl9w7xl3l0-31d3a1fcf9464039&clientCacheKey=3xygi9pwhcjjxnk_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓舞曲2,http://txmov2.a.kwimgs.com/upic/2023/10/24/08/BMjAyMzEwMjQwODA4MjFfMjM0Mjg1Nzg4Ml8xMTU2NTEyNzEwMjJfMV8z_b_Bbc75a134f52d0237291ed6686011c0e8.mp4?tag=1-1701958003-std-1-tl9w7xl3l0-31d3a1fcf9464039&clientCacheKey=3xygi9pwhcjjxnk_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
dj爱你一万年,http://txmov2.a.kwimgs.com/upic/2023/09/13/20/BMjAyMzA5MTMyMDMxMjJfODU5NDQyMDk3XzExMjcxNzE4NjU3OF8yXzM=_b_B61ac46dbf01f7539333e6f9187887e63.mp4?tag=1-1701943892-std-1-cqlhpwso6k-f98b1b297fc38874&clientCacheKey=3xkq7f84k9cizrk_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓环绕音,http://txmov2.a.kwimgs.com/upic/2023/06/06/19/BMjAyMzA2MDYxOTE1NDRfMjM0Mjg1Nzg4Ml8xMDQ5MDE2MDMzNDJfMV8z_b_B7bb4f28726c07ae269b4e127fffdbd49.mp4?tag=1-1701951318-std-1-7zicuidfs7-7f49c2a8325d35a9&clientCacheKey=3x4y5bnhcs54h3u_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓城市的夜晚,https://txmov2.a.kwimgs.com/upic/2023/11/06/23/BMjAyMzExMDYyMzE0NDNfMjE0OTI5NDA4MV8xMTY2MzI4NDUzODRfMF8z_b_B12a89f8e43f1405ff39f72866ba262b6.mp4?tag=1-1702507929-std-1-565a5kwr0s-b93eac6d46767c39&clientCacheKey=3x64j797tdavp3y_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓dj爱着你,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
dj真心真意,http://txmov2.a.kwimgs.com/upic/2023/06/20/13/BMjAyMzA2MjAxMzAwNDdfMjM0Mjg1Nzg4Ml8xMDU5Nzg5ODM4NzFfMV8z_b_B332b51a7c2073041fb6716f63c9f861a.mp4?tag=1-1701952036-std-1-zrepmmxmm9-596b8cb0a92db286&clientCacheKey=3xyhhh6kq5tt89m_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
打碟,https://txmov2.a.kwimgs.com/upic/2023/08/07/15/BMjAyMzA4MDcxNTU0MzFfMjE0OTI5NDA4MV8xMDk5MDIyMjUxMDRfMl8z_b_B2b98a6dd292d8653457c590d44f5b6a4.mp4?tag=1-1702520115-std-1-bcutvbjexz-aedf1c7e2b195d0e&clientCacheKey=3xta57krgw8rccm_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
少年的你啊,http://txmov2.a.kwimgs.com/upic/2023/10/22/11/BMjAyMzEwMjIxMTQ5MDZfMjU2MTY4OTM1NV8xMTU1MjA5MDE1NjFfMV8z_b_B29900b67e418ca1da951db5efa49cbe0.mp4?tag=1-1701935495-std-1-e1bejr9anu-bcdc7b4c1a3af035&clientCacheKey=3xqrnr3swxgttds_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
dj神奇的草原,https://txmov2.a.kwimgs.com/upic/2023/11/15/22/BMjAyMzExMTUyMjA5NDlfMjE0OTI5NDA4MV8xMTcyNDU5MTY2MDJfMF8z_b_Ba1ffdd4572216cd46743b50d845192f0.mp4?tag=1-1702506166-std-1-sukdu7aiki-cc81f0b23a07ea5f&clientCacheKey=3x9m49gkk42thj6_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
耶耶耶,http://txmov2.a.kwimgs.com/upic/2023/08/25/07/BMjAyMzA4MjUwNzQyMTlfMjM0Mjg1Nzg4Ml8xMTEzMzAzMTQxODBfMV8z_b_B60c8608664b94747e3dce1a2013b9dee.mp4?tag=1-1701955591-std-1-da9dajkgth-6b6028535430009c&clientCacheKey=3xetj6pidk9eciu_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
dj你回来那天,http://txmov2.a.kwimgs.com/upic/2023/06/20/20/BMjAyMzA2MjAyMDEyNDRfMjM0Mjg1Nzg4Ml8xMDYwMDYzODg4NjhfMV8z_b_Bfea1f083f1b0253578c54b9e551d683f.mp4?tag=1-1701952099-std-1-wax9mojqlq-33775d205b4fb8fe&clientCacheKey=3xv6eviyqmgzaqc_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓摇起来,https://txmov2.a.kwimgs.com/upic/2023/12/15/04/BMjAyMzEyMTUwNDM0MzRfNTE2MjIxMzE1XzExOTY2MDc1NjE4MF8yXzM=_b_Bf4ce7847aef274c9312830913e04d872.mp4?tag=1-1702586215-std-1-ybqucgxmv2-e1a2cb5683dfd9a7&clientCacheKey=3xbaumkmkyiesau_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
英文歌曲,http://txmov2.a.kwimgs.com/upic/2023/10/24/00/BMjAyMzEwMjQwMDU5MjJfMTQ1OTAxMzA5OV8xMTU2NDM4MjE0OTBfMV8z_b_B808aaa5a65bc73f9fa2e99d101cf533e.mp4?tag=1-1701970342-std-1-6wwljb35qd-01e2f6577a532e20&clientCacheKey=3xsu7s632taaddc_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
爱的暴风雨,https://txmov2.a.kwimgs.com/upic/2022/02/27/11/BMjAyMjAyMjcxMTUyMDJfMTIyNzQ2ODAzNV82ODUxMzY0NDMxMV8yXzM=_b_B2cf39ddbce2824adb109e25f85618523.mp4?tag=1-1702502304-std-1-l43gjg7ry8-6cfaf5e36d5735e6&clientCacheKey=3xwk84d5fqt7824_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
dj你的选择,https://txmov2.a.kwimgs.com/upic/2023/08/20/14/BMjAyMzA4MjAxNDMwMDFfMjE0OTI5NDA4MV8xMTA5NTU0OTc1ODFfMl8z_b_Bad1045bd412c7fc7b353ee2765ac6380.mp4?tag=1-1702518426-std-1-uqnjxh5t6h-5b0846db819e05f7&clientCacheKey=3xmwbfpghv2jgbk_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓爱情让我伤心,https://txmov2.a.kwimgs.com/upic/2023/08/26/22/BMjAyMzA4MjYyMjA0MzdfMjEwODMyMDUwOV8xMTE0NzIwNzA1NDJfMl8z_b_B992db6211e3e431a416b38ab880b04af.mp4?tag=1-1702527503-std-1-zynqnhurmv-fd46a32178603ea0&clientCacheKey=3x45axhv44qfaxa_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
桃之夭夭DJ,http://mobi.kuwo.cn/tmevideo/tme12155598.mp4
怀旧音乐,http://vodcdn.video.taobao.com/oss/ali-video/84722d96b62883dafdcc154afbf0bb03/video.m3u8
🍓城市的夜晚,https://txmov2.a.kwimgs.com/upic/2023/11/06/23/BMjAyMzExMDYyMzE0NDNfMjE0OTI5NDA4MV8xMTY2MzI4NDUzODRfMF8z_b_B12a89f8e43f1405ff39f72866ba262b6.mp4?tag=1-1702507929-std-1-565a5kwr0s-b93eac6d46767c39&clientCacheKey=3x64j797tdavp3y_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🍓dj爱着你,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
